country_code,country,year,sdg_index_score,goal_1_score,goal_2_score,goal_3_score,goal_4_score,goal_5_score,goal_6_score,goal_7_score,goal_8_score,goal_9_score,goal_10_score,goal_11_score,goal_12_score,goal_13_score,goal_14_score,goal_15_score,goal_16_score,goal_17_score
JOR,Jordan,2019,69.7,98.6,56.3,75.8,57.6,41.4,55.2,72.9,63.6,55.9,77,76.2,89.1,91.1,89.8,55.2,70.3,58.6
KAZ,Kazakhstan,2019,72.2,98.6,53.3,81,95.8,76.4,72.4,61.8,72.8,46.7,96.3,87.6,78.7,54.6,0,62.6,62.7,54.5
KEN,Kenya,2019,60.5,47,56.8,51,70.6,69.1,46.4,40.6,76.5,29.2,49.5,60,94.7,98.4,69.9,58.6,55.8,54.1
KOR,"Korea, Rep.",2019,77.6,99.5,81.8,92.4,94.5,64.6,74,70.6,83.8,98.9,81.4,87.6,70.5,68.7,55.4,54.8,77.5,63.3
KWT,Kuwait,2019,63.2,0,68,85.4,84.5,52.5,55,68.8,77.2,60.6,0,65.8,61.2,32.4,47.1,53.1,75.1,60.8
KGZ,Kyrgyz Republic,2019,74.9,91.9,62,75.6,95.1,60.8,66.1,78.1,69.8,35.1,89.7,87.3,91.9,94.8,0,70.9,60.1,70.1
LAO,Lao PDR,2019,62.6,64.6,64.7,54,69.6,70.8,69.1,57.2,71.1,27.5,57.4,75.5,93,92.6,0,45.6,45.3,43.7
_LAC,Latin America and the Caribbean,2019,69.4,80.8,65.6,75.9,86.9,71.4,78.4,79.1,72.5,51.4,20.2,78.1,83.9,93.1,60.9,60,55.6,66.3
LVA,Latvia,2019,80.2,100,64.9,84.4,97.5,77.9,89.2,88.9,83.9,73,75.1,89.9,61.7,71.5,84.1,97.9,78.8,44.9
LBN,Lebanon,2019,67.9,99,54.5,77.2,99.6,44.4,66.2,61.9,59.8,64.7,84.4,61.5,81.6,86.7,63.9,57.1,54.4,37.3
LSO,Lesotho,2019,54.5,33,50.1,22.6,49.9,74.6,49,25.2,47.5,24.6,27.5,70.6,98.6,97.3,0,74.2,48.2,78.3
LBR,Liberia,2019,49.6,26.3,46.8,33.1,42.9,44.6,52.9,12.1,64.6,10.3,72.1,29,96.1,98.9,83.6,47.6,43.2,39.6
LTU,Lithuania,2019,75.8,100,59.4,84.8,98.4,71.7,78.8,69.9,78.5,70.9,70.9,82.4,51.7,58.5,82.1,95.3,81.9,52.9
_LIC_LMIC,Lower & Lower-middle Income,2019,60.3,63,58.1,57.1,68.6,50.6,56.9,52.9,69.3,37,47.2,53.6,93.8,95.6,63.9,56.2,51.9,49.3
_LMIC,Lower-middle-income Countries,2019,62.5,74.6,59,60.1,75,50.9,59.2,57.1,71.5,41.2,47.1,55,93.3,94.8,63.5,54.7,54.1,50.7
_LIC,Low-income Countries,2019,50.4,20.1,46.5,42.4,35,48.4,45.6,32.4,58.2,16.3,47.9,46.3,96.4,98.9,73.8,63.3,43.1,41.9
